year,rank,market,gross,tickets,avg_price,avg_price_change,shows,dma_rank,revenue_per_show,tickets_per_show
2022,92,Charleston-Huntington,1892492,29505,64.14,0.0,11,75,172044.72727272726,2682.2727272727275
2023,89,Charleston-Huntington,7652578,122872,62.28,-0.03,59,70,129704.71186440678,2082.576271186441
2024,98,Charleston-Huntington,6809841,96220,70.77,0.14,42,79,162139.07142857142,2290.9523809523807
2025,80,Charleston-Huntington,11388299,218177,52.2,-0.262,71,82,160398.57746478874,3072.9154929577467
2022,20,Charlotte,33760402,412841,81.78,0.0,129,22,261708.5426356589,3200.3178294573645
2023,21,Charlotte,92862231,1041088,89.2,0.09,423,22,219532.4609929078,2461.2009456264777
2024,19,Charlotte,140593778,1665715,84.4,-0.05,628,21,223875.44267515923,2652.4124203821657
2025,23,Charlotte,112986221,1216064,92.91,0.101,589,21,191827.20033955856,2064.6247877758915
2024,94,Charlottesville,8681892,99618,87.15,0.67,12,177,723491.0,8301.5
2023,98,Chattanooga,6607820,102561,64.43,0.44,83,89,79612.2891566265,1235.6746987951808
2025,100,Chattanooga,6010590,101433,59.26,-0.19,92,86,65332.5,1102.5326086956522
2022,5,Chicago,86042731,1068037,80.56,0.0,458,3,187866.2248908297,2331.9585152838426
2023,4,Chicago,295681068,3291100,89.84,0.12,1207,3,244971.88732394367,2726.677713338857
2024,4,Chicago,367388152,4010328,91.61,0.02,1383,3,265645.80766449746,2899.7310195227765
2025,5,Chicago,399947094,4226636,94.63,0.033,1620,3,246880.92222222223,2609.0345679012344
2022,38,Cincinnati,11488279,206293,55.69,0.0,87,36,132049.183908046,2371.183908045977
2023,47,Cincinnati,24865505,410073,60.64,0.09,183,36,135877.07650273223,2240.8360655737706
2024,40,Cincinnati,42953265,624229,68.81,0.13,325,36,132163.8923076923,1920.7046153846154
2025,40,Cincinnati,55648300,706877,78.72,0.144,278,37,200173.74100719424,2542.723021582734
2022,31,Cleveland,17787957,253260,70.24,0.0,46,19,386694.7173913043,5505.652173913043
2023,32,Cleveland,45330757,676542,67.0,-0.05,193,19,234874.38860103628,3505.39896373057
2024,35,Cleveland,53784176,816970,65.83,-0.02,226,19,237983.0796460177,3614.9115044247787
2025,31,Cleveland-Akron (Canton),83551320,856169,97.59,0.482,196,19,426282.2448979592,4368.209183673469
2022,79,Columbia,2869085,52143,55.02,0.0,17,76,168769.70588235295,3067.235294117647
2023,69,Columbia,14758107,186859,78.98,0.44,47,77,314002.27659574465,3975.723404255319
2024,90,Columbia,9998824,115380,86.66,0.1,37,76,270238.4864864865,3118.3783783783783
2025,96,"Columbia, SC",7597706,131695,57.69,-0.334,44,76,172675.13636363635,2993.068181818182
2022,40,Columbus,9263107,131454,70.47,0.0,84,33,110275.08333333333,1564.9285714285713
2023,44,Columbus,27644508,371655,74.38,0.06,252,32,109700.42857142857,1474.8214285714287
2024,27,"Columbus, OH",86664972,855423,101.31,0.36,379,32,228667.4722955145,2257.052770448549
2025,43,"Columbus, OH",47738285,665917,71.69,-0.292,467,35,102223.30835117774,1425.9464668094217
2023,87,Columbus-Tupelo,7843650,191852,40.88,-0.09,93,133,84340.32258064517,2062.9247311827958
2022,98,Corpus Christi,1541542,40343,38.21,0.0,17,130,90678.94117647059,2373.1176470588234
2022,7,Dallas-Ft. Worth,60905142,683363,89.13,0.0,134,5,454515.98507462686,5099.723880597015
2023,8,Dallas-Ft. Worth,206799956,2252572,91.81,0.03,394,5,524872.9847715736,5717.187817258883
2024,10,Dallas-Ft. Worth,259607807,2755018,94.23,0.03,468,5,554717.5363247864,5886.790598290599
2025,10,Dallas-Ft. Worth,242219020,2532466,95.65,0.015,461,4,525420.8676789588,5493.418655097614
2022,88,Davenport-Rock Island,2175938,36059,60.34,0.0,10,103,217593.8,3605.9
2023,99,Davenport-Rock Island,6377075,124490,51.23,-0.15,37,101,172353.37837837837,3364.5945945945946
2022,84,Dayton,2466633,35854,68.8,0.0,9,65,274070.3333333333,3983.777777777778
2023,86,Dayton,8088168,146297,55.29,-0.2,71,64,113917.85915492958,2060.521126760563
2024,74,Dayton,14682663,236937,61.97,0.12,100,64,146826.63,2369.37
2022,8,Denver,56340791,706176,79.78,0.0,152,16,370663.0986842105,4645.894736842105
2023,16,Denver,134568071,1569758,85.73,0.07,412,17,326621.53155339806,3810.0922330097087
2024,18,Denver,152814674,1691713,90.33,0.05,457,16,334386.5951859956,3701.7789934354487
2025,12,Denver,218395048,2433003,89.76,-0.006,600,17,363991.74666666664,4055.005
2023,77,Des Moines,11421996,146384,78.03,0.54,47,69,243021.1914893617,3114.553191489362
2024,67,Des Moines,21110348,306823,68.8,-0.12,137,68,154090.13138686132,2239.5839416058393
2025,44,Des Moines-Ames,47606444,527294,90.28,0.312,163,67,292064.0736196319,3234.9325153374234
2022,13,Detroit,41720069,574252,72.65,0.0,86,15,485117.0813953488,6677.3488372093025
2023,14,Detroit,164665824,2140552,76.93,0.06,430,13,382943.77674418606,4978.027906976744
2024,13,Detroit,208376320,2485735,83.83,0.09,548,14,380248.7591240876,4536.012773722628
2025,15,Detroit,176278287,2025112,87.05,0.038,447,14,394358.58389261743,4530.451901565995
2022,60,El Paso,5164849,62329,82.86,0.0,12,93,430404.0833333333,5194.083333333333
2023,71,El Paso,13699845,175681,77.98,-0.06,122,92,112293.81147540984,1440.0081967213114
2024,54,El Paso,26324528,239110,110.09,0.41,96,91,274213.8333333333,2490.7291666666665
2025,76,El Paso (Las Cruces),13168255,138777,94.89,-0.138,78,89,168823.78205128206,1779.1923076923076
2022,100,Eugene,1445285,31594,45.75,0.0,10,113,144528.5,3159.4
2022,83,Evansville,2513661,41247,60.94,0.0,17,106,147862.41176470587,2426.294117647059
2024,88,Evansville,10734837,198522,54.07,-0.13,91,107,117965.24175824175,2181.5604395604396
2025,86,Evansville,10066274,276420,36.42,-0.327,121,109,83192.34710743802,2284.4628099173556
2022,67,Fargo,4231594,61685,68.6,0.0,12,114,352632.8333333333,5140.416666666667
2023,95,Fargo,7046771,80566,87.47,0.28,17,116,414515.9411764706,4739.176470588235
2024,77,Fargo,13929945,144015,96.73,0.11,29,113,480342.9310344828,4966.0344827586205
2025,58,Fort Myers-Naples,24635794,334051,73.75,0.01,207,53,119013.49758454107,1613.7729468599034
2025,79,Fort Smith-Fayetteville-Springdale-Rogers,11937228,200691,59.48,0.011,41,96,291151.9024390244,4894.90243902439
2025,94,Fort Wayne,8043679,157174,51.18,-0.046,142,110,56645.626760563384,1106.8591549295775
2022,55,Fresno-Visalia,5541401,73126,75.78,0.0,15,55,369426.73333333334,4875.066666666667
2023,66,Fresno-Visalia,15728079,205036,76.71,0.01,53,54,296756.2075471698,3868.603773584906
2024,65,Fresno-Visalia,21622213,229407,94.25,0.23,54,53,400411.35185185185,4248.277777777777
2025,57,Fresno-Visalia,27580863,311687,88.49,-0.061,73,55,377820.0410958904,4269.684931506849
2022,50,Ft. Myers-Naples,6418101,99053,64.79,0.0,44,54,145865.93181818182,2251.2045454545455
2023,61,Ft. Myers-Naples,18251641,238816,76.43,0.18,154,61,118517.14935064936,1550.7532467532467
2024,60,Ft. Myers-Naples,23312109,319374,72.99,-0.04,168,55,138762.55357142858,1901.0357142857142
2022,53,Ft. Smith,6155586,118911,51.77,0.0,19,95,323978.2105263158,6258.473684210527
2023,83,Ft. Smith,8446241,147408,57.3,0.11,30,99,281541.36666666664,4913.6
2024,81,Ft. Smith,12541477,213097,58.85,0.03,37,97,338958.8378378378,5759.378378378378
2022,87,Ft. Wayne,2224545,51702,43.03,0.0,88,111,25278.920454545456,587.5227272727273
2023,94,Ft. Wayne,7068200,160743,43.97,0.02,142,110,49776.05633802817,1131.9929577464789
2024,82,Ft. Wayne,11758895,219241,53.63,0.22,138,108,85209.38405797101,1588.7028985507247
2022,61,Grand Rapids-Kalamazoo,4944432,94903,52.1,0.0,77,41,64213.4025974026,1232.5064935064936
2023,59,Grand Rapids-Kalamazoo,18729510,381644,49.08,-0.06,325,44,57629.26153846154,1174.2892307692307
2024,41,Grand Rapids-Kalamazoo,40342466,685437,58.86,0.2,440,42,91687.42272727273,1557.8113636363637
2025,52,Grand Rapids-Kalamazoo-Battle Creek,36357174,606248,59.97,0.019,409,43,88892.84596577018,1482.2689486552567
2023,68,Green Bay-Appleton,15157286,174304,86.96,0.72,66,68,229655.84848484848,2640.969696969697
2024,71,Green Bay-Appleton,16694888,219459,76.07,-0.13,110,69,151771.70909090908,1995.081818181818
2025,62,Green Bay-Appleton,22145037,306558,72.24,-0.05,153,68,144738.80392156861,2003.6470588235295
2025,36,Greensboro-High Point-Winston-Salem,60012194,881500,68.08,-0.075,304,46,197408.53289473685,2899.6710526315787
2022,89,Greensboro-Winston Salem,2119884,44077,48.1,0.0,44,47,48179.181818181816,1001.75
2023,40,Greensboro-Winston Salem,32015006,378757,84.53,0.76,190,46,168500.03157894738,1993.457894736842
2024,39,Greensboro-Winston Salem,43137508,586331,73.57,-0.13,274,47,157436.16058394162,2139.894160583942
2022,42,Greenville-Spartanburg,8411611,160772,52.32,0.0,118,35,71284.83898305085,1362.4745762711864
2023,39,Greenville-Spartanburg,36390876,509173,71.47,0.37,312,37,116637.42307692308,1631.9647435897436
2024,48,Greenville-Spartanburg,33147576,442383,74.93,0.05,192,37,172643.625,2304.078125
2025,41,Greenville-Spartanburg-Asheville-Anderson,54769300,822100,66.62,-0.111,282,36,194217.37588652482,2915.248226950355
2025,67,Harlingen-Weslaco-Brownsville-McAllen,18632463,184805,100.82,0.038,57,80,326885.3157894737,3242.1929824561403
2025,47,Harrisburg-Lancaster-Lebanon-York,44104498,443128,99.53,0.353,76,42,580322.3421052631,5830.631578947368
2023,65,Harrisburg-York-Lancaster,16326195,219215,74.48,-0.02,42,43,388718.9285714286,5219.4047619047615
2024,69,Harrisburg-York-Lancaster,19728654,268287,73.54,-0.01,56,43,352297.39285714284,4790.839285714285
2022,35,Harrisburg/York/Lancaster,16536639,217991,75.86,0.0,24,42,689026.625,9082.958333333334
2022,21,Hartford-New Haven,30181334,415813,72.58,0.0,184,32,164028.98913043478,2259.853260869565
2023,29,Hartford-New Haven,50548189,800312,63.16,-0.13,327,30,154581.61773700305,2447.4373088685015
2024,33,Hartford-New Haven,57343763,812808,70.55,0.12,293,34,195712.50170648465,2774.0887372013653
2025,32,Hartford-New Haven,81690796,1034251,78.99,0.12,310,32,263518.69677419355,3336.293548387097
2025,97,Honolulu,6928804,65205,106.26,0.258,25,69,277152.16,2608.2
2022,10,Houston,45734158,546409,83.7,0.0,141,8,324355.7304964539,3875.241134751773
2023,15,Houston,138209762,1374414,100.56,0.2,439,8,314828.6150341686,3130.7835990888384
2024,17,Houston,170669310,1631831,104.59,0.04,477,6,357797.2955974843,3421.029350104822
2025,21,Houston,135643052,1396139,97.16,-0.071,392,6,346028.193877551,3561.579081632653
2023,74,Huntsville-Decatur,11888542,162728,73.06,0.37,45,79,264189.8222222222,3616.177777777778
2024,78,Huntsville-Decatur,13630962,211471,64.46,-0.12,58,81,235016.58620689655,3646.051724137931
2025,74,Huntsville-Decatur (Florence),14363505,224753,63.91,-0.009,67,75,214380.67164179104,3354.5223880597014
2022,23,Indianapolis,28963699,543537,53.29,0.0,109,25,265722.00917431194,4986.577981651376
2023,26,Indianapolis,68745421,1094711,62.8,0.18,383,27,179491.96083550915,2858.253263707572
2024,24,Indianapolis,100588792,1542099,65.23,0.04,355,25,283348.70985915494,4343.940845070422
2025,20,Indianapolis,136124403,1820103,74.79,0.147,421,25,323335.87410926365,4323.285035629454
2022,26,Jacksonville,22566159,356784,63.25,0.0,174,43,129690.56896551725,2050.4827586206898
2023,37,Jacksonville,42568649,634134,67.13,0.06,302,47,140955.79139072847,2099.781456953642
2024,37,Jacksonville,49296512,671108,73.46,0.09,284,41,173579.2676056338,2363.056338028169
2025,35,Jacksonville,65049151,783737,83.0,0.13,405,41,160615.187654321,1935.153086419753
2024,99,Johnstown-Altoona,6803328,100926,67.41,0.78,37,109,183873.72972972973,2727.7297297297296
2025,75,Johnstown-Altoona-State College,13560484,146116,92.81,0.377,17,112,797675.5294117647,8595.058823529413
2022,52,Kansas City,6394026,118275,54.06,0.0,32,34,199813.3125,3696.09375
2023,30,Kansas City,48724315,521893,93.36,0.73,104,33,468503.0288461539,5018.201923076923
2024,34,Kansas City,55966199,617884,90.58,-0.03,106,33,527983.0094339623,5829.094339622641
2025,39,Kansas City,56526278,697833,81.0,-0.106,227,33,249014.44052863435,3074.1541850220265
2022,97,Knoxville,1601067,30947,51.74,0.0,18,62,88948.16666666667,1719.2777777777778
2023,41,Knoxville,29518974,389997,75.69,0.46,149,62,198113.91946308725,2617.4295302013425
2024,45,Knoxville,35969148,407703,88.22,0.17,124,61,290073.77419354836,3287.9274193548385
2025,55,Knoxville,33706693,397961,84.7,-0.04,150,60,224711.28666666665,2653.0733333333333
2023,82,Lansing,8529353,101247,84.24,1.31,64,113,133271.140625,1581.984375
2022,1,Las Vegas,197182030,1022793,192.79,0.0,292,40,675280.9246575342,3502.7157534246576
2023,2,Las Vegas,518813927,3420314,151.69,-0.21,966,40,537074.4585921325,3540.6977225672877
2024,3,Las Vegas,600017204,3410840,175.91,0.16,1034,40,580287.4313346228,3298.684719535783
2025,2,Las Vegas,796930022,3902147,204.23,0.161,1132,40,704001.7862190813,3447.1263250883394
2022,75,Lexington,3352364,48534,69.07,0.0,25,63,134094.56,1941.36
2023,58,Lexington,19341695,254656,75.95,0.1,78,63,247970.44871794872,3264.8205128205127
2024,52,Lexington,30541169,492087,62.06,-0.18,154,63,198319.27922077922,3195.37012987013
2025,53,Lexington,35984855,537848,66.91,0.078,194,63,185488.94329896907,2772.4123711340208
2022,73,Lincoln-Hastings-Kearney,3406325,58466,58.26,0.0,41,105,83081.09756097561,1426.0
2023,79,Lincoln-Hastings-Kearney,10345747,129990,79.59,0.37,72,105,143690.93055555556,1805.4166666666667
2024,63,Lincoln-Hastings-Kearney,22082699,252947,87.3,0.1,96,106,230028.11458333334,2634.8645833333335
2025,89,Lincoln-Hastings-Kearney,8871701,157885,56.19,-0.356,101,107,87838.62376237624,1563.2178217821781
2022,81,Little Rock,2850907,61561,46.31,0.0,25,59,114036.28,2462.44
2023,43,Little Rock,27748330,330390,83.99,0.81,67,57,414154.17910447763,4931.194029850746
2024,68,Little Rock,20278175,328250,61.78,-0.26,85,60,238566.76470588235,3861.764705882353
2025,61,Little Rock-Pine Bluff,23753693,326783,72.69,0.177,81,58,293255.4691358025,4034.358024691358
2022,2,Los Angeles,154186341,1564484,98.55,0.0,199,2,774805.7336683417,7861.728643216081
2023,3,Los Angeles,515075052,4458618,115.52,0.17,841,2,612455.4720570749,5301.567181926278
2024,2,Los Angeles,718430010,5819641,123.45,0.07,1125,2,638604.4533333334,5173.014222222222
2025,3,Los Angeles,547340096,4719798,115.97,-0.061,1146,2,477609.1588132635,4118.497382198952
2022,43,Louisville,7998128,135533,59.01,0.0,37,49,216165.62162162163,3663.054054054054
2023,46,Louisville,26113121,361788,72.18,0.22,81,49,322384.2098765432,4466.518518518518
2024,46,Louisville,35453977,385041,92.08,0.28,85,48,417105.61176470586,4529.894117647059
2025,68,Louisville,18504560,240729,76.87,-0.165,70,49,264350.85714285716,3438.9857142857145
2022,85,Lubbock,2359336,48237,48.91,0.0,14,145,168524.0,3445.5
2022,78,Madison,3148592,76893,40.95,0.0,78,81,40366.5641025641,985.8076923076923
2023,84,Madison,8444094,196184,43.04,0.05,235,80,35932.31489361702,834.8255319148936
2024,72,Madison,16067192,290936,55.23,0.28,271,72,59288.531365313655,1073.5645756457563
2025,63,Madison,21815670,337386,64.66,0.171,346,77,63051.06936416185,975.1040462427745
2022,65,McAllen-Brownsville,4321953,41458,104.25,0.0,7,85,617421.8571428572,5922.571428571428
2023,51,McAllen-Brownsville,21551371,230005,93.7,-0.1,90,84,239459.67777777778,2555.6111111111113
2024,55,McAllen-Brownsville,26061545,268359,97.11,0.04,82,83,317823.7195121951,3272.670731707317
2022,54,Memphis,5828101,102262,56.99,0.0,42,51,138764.30952380953,2434.809523809524
2023,54,Memphis,20933642,268725,77.9,0.37,84,51,249210.02380952382,3199.1071428571427
2024,59,Memphis,24194448,323761,74.73,-0.04,111,52,217968.0,2916.765765765766
2025,85,Memphis,10252562,141879,72.26,-0.033,57,51,179869.50877192983,2489.1052631578946
2022,12,Miami,42252064,427700,98.79,0.0,70,18,603600.9142857143,6110.0
2023,7,Miami,207883962,1812116,114.72,0.16,399,16,521012.4360902256,4541.644110275689
2024,9,Miami - Ft. Lauderdale,264924195,2294435,115.46,0.01,634,18,417861.5063091483,3618.9826498422713
2025,13,Miami-Ft. Lauderdale,203683629,1582794,128.69,0.115,606,18,336111.599009901,2611.871287128713
2022,34,Milwaukee,16538612,218204,75.79,0.0,29,37,570296.9655172414,7524.275862068966
2023,33,Milwaukee,44369211,529218,83.84,0.11,78,35,568836.0384615385,6784.846153846154
2024,29,Milwaukee,76095044,624159,121.92,0.45,96,38,792656.7083333334,6501.65625
2025,38,Milwaukee,59372870,631602,94.0,-0.229,94,38,631626.2765957447,6719.170212765957
2022,15,Minneapolis-St. Paul,39550678,440668,89.75,0.0,273,14,144874.27838827838,1614.1684981684982
2023,17,Minneapolis-St. Paul,129671417,1964182,66.02,-0.26,974,15,133132.87166324435,2016.6139630390144
2024,20,Minneapolis-St. Paul,137514647,1677225,81.99,0.24,1097,15,125355.19325432999,1528.9197812215132
2025,22,Minneapolis-St. Paul,113992610,1200130,94.98,0.158,356,16,320203.9606741573,3371.1516853932585
2022,51,Missoula,6416049,123549,51.93,0.0,49,161,130939.77551020408,2521.408163265306
2023,96,Missoula,6897306,175016,39.41,-0.24,131,164,52651.19083969466,1336.0
2024,93,Missoula,8956589,176663,50.7,0.29,93,162,96307.40860215054,1899.6021505376343
2025,66,Missoula,19239393,215812,89.15,0.758,102,161,188621.5,2115.8039215686276
2022,48,Mobile-Pensacola,6585009,110910,59.37,0.0,92,57,71576.18478260869,1205.5434782608695
2023,72,Mobile-Pensacola,12864838,172246,74.69,0.26,107,60,120232.1308411215,1609.7757009345794
2024,86,Mobile-Pensacola,10839257,134941,80.33,0.08,54,58,200726.9814814815,2498.9074074074074
2025,98,Mobile-Pensacola (Fort Walton Beach),6383494,93172,68.51,-0.147,55,57,116063.52727272727,1694.0363636363636
2022,9,Nashville,48115489,628295,76.58,0.0,383,29,125627.908616188,1640.4569190600523
2023,12,Nashville,168859507,2074789,81.39,0.06,896,29,188459.27120535713,2315.612723214286
2024,12,Nashville,227998795,2326642,97.99,0.2,501,27,455087.4151696607,4643.996007984032
2025,17,Nashville,146841864,1851805,79.3,-0.191,957,26,153439.77429467085,1935.0104493207941
2022,44,New Orleans,7515608,96596,77.8,0.0,14,50,536829.1428571428,6899.714285714285
2023,60,New Orleans,18493262,212684,86.95,0.12,63,50,293543.84126984124,3375.936507936508
2024,56,New Orleans,25988740,233725,111.19,0.28,52,50,499783.46153846156,4494.711538461538
2025,72,New Orleans,15769554,148125,106.46,-0.043,48,50,328532.375,3085.9375
2022,3,New York,116254330,1402782,82.87,0.0,881,1,131957.2417707151,1592.261066969353
2023,1,New York,796613879,7568956,105.25,0.27,3240,1,245868.4811728395,2336.0975308641973
2024,1,New York,912581848,8581899,106.34,0.01,3142,1,290446.16422660724,2731.3491406747294
2025,1,New York,1044059179,9623396,108.49,0.02,3723,1,280434.91243620735,2584.849852269675
2022,58,Norfolk-Portsmouth-Newport,5305442,114663,46.27,0.0,31,46,171143.29032258064,3698.8064516129034
2023,67,Norfolk-Portsmouth-Newport,15700208,272284,57.66,0.25,140,42,112144.34285714285,1944.8857142857144
2024,73,Norfolk-Portsmouth-Newport,15680336,261121,60.05,0.04,57,44,275093.6140350877,4581.070175438596
2025,56,Norfolk-Portsmouth-Newport News,29104266,429356,67.79,0.129,99,44,293982.48484848486,4336.929292929293
2023,100,Odessa-Midland,6101409,112316,54.32,0.76,119,143,51272.34453781512,943.8319327731092
2022,59,Oklahoma City,5205592,107983,48.21,0.0,39,44,133476.71794871794,2768.7948717948716
2023,42,Oklahoma City,28256082,383781,73.63,0.53,85,41,332424.49411764706,4515.070588235294
2024,58,Oklahoma City,24550572,348062,70.54,-0.04,83,46,295790.0240963855,4193.518072289156
2025,46,Oklahoma City,44546820,522561,85.25,0.209,120,47,371223.5,4354.675
2022,33,Omaha,17125528,244214,70.13,0.0,179,72,95673.3407821229,1364.3240223463688
2023,31,Omaha,46079327,677068,68.06,-0.03,345,74,133563.26666666666,1962.5159420289856
2024,42,Omaha,38145205,545805,69.89,0.03,325,73,117369.86153846154,1679.4
2025,37,Omaha,59497937,823337,72.26,0.034,351,73,169509.792022792,2345.6894586894587
2022,25,Orlando-Daytona Beach,23992393,299578,80.09,0.0,56,17,428435.58928571426,5349.607142857143
2023,18,Orlando-Daytona Beach,125388650,1309441,95.76,0.2,332,18,377676.656626506,3944.0993975903616
2024,25,Orlando-Daytona Beach,100480605,1132536,88.72,-0.07,372,17,270109.1532258064,3044.451612903226
2025,19,Orlando-Daytona Beach-Melbourne,138090965,1364509,101.2,0.141,410,15,336807.23170731706,3328.070731707317
2024,43,Palm Springs,37704587,295722,127.5,-0.16,155,144,243255.4,1907.883870967742
2025,45,Palm Springs,46054644,395552,116.43,-0.087,137,145,336165.28467153286,2887.2408759124087
2022,95,Peoria,1633251,31249,52.27,0.0,22,123,74238.68181818182,1420.409090909091
2023,88,Peoria,7702755,144461,53.32,0.02,65,118,118503.92307692308,2222.476923076923
2024,87,Peoria,10751912,175811,61.16,0.15,96,122,111999.08333333333,1831.3645833333333
2025,81,Peoria-Bloomington,11338093,208948,54.26,-0.113,132,122,85894.64393939394,1582.939393939394
2022,11,Philadelphia,44849510,588615,76.19,0.0,282,4,159040.81560283687,2087.2872340425533
2023,13,Philadelphia,164812261,2013176,81.87,0.07,811,4,203221.0369913687,2482.3378545006167
2024,14,Philadelphia,193388753,2111358,91.59,0.12,681,4,283977.610866373,3100.3788546255505
2025,11,Philadelphia,221076789,2262919,97.7,0.067,618,5,357729.43203883496,3661.6812297734627
2022,16,Phoenix,37372226,486807,76.77,0.0,140,11,266944.47142857144,3477.192857142857
2023,19,Phoenix,118125380,1341434,88.06,0.15,364,12,324520.2747252747,3685.2582417582416
